GRT_LABELLED_TIME_SERIES_CLASSIFICATION_DATA_FILE_V1.0
DatasetName: NOT_SET
TimeSeriesData:
0.101224	0.686226
0.14155	0.620145
0.175225	0.553291
0.203199	0.480962
0.235775	0.430715
0.252942	0.393992
0.283238	0.356647
0.291599	0.346065
0.327326	0.303143
0.357056	0.276346
0.382735	0.258018
0.404584	0.248857
0.430147	0.248281
0.458847	0.257349
0.482063	0.268601
0.509048	0.2876
0.535451	0.314573
0.558574	0.345886
0.583986	0.384726
0.605708	0.436017
0.622447	0.492327
0.618985	0.562528
0.592931	0.639004
0.54681	0.71587
0.495504	0.770471
0.435503	0.844398
0.352393	0.900352
0.30229	0.926491
0.221518	0.933961
0.158805	0.916878
0.111298	0.88499
************TIME_SERIES************
ClassID: 2
TimeSeriesLength: 33
TimeSeriesData:
0.0892749	0.752913
0.100205	0.675948
0.118445	0.596031
0.142238	0.527534
0.164231	0.459957
0.184262	0.400296
0.209112	0.347339
0.232148	0.29785
0.239346	0.270513
0.257987	0.240402
0.279065	0.206853
0.299821	0.186072
0.317817	0.176861
0.363885	0.173305
0.38275	0.181314
0.401763	0.197412
0.4233	0.222979
0.44647	0.259099
0.465578	0.298413
0.483835	0.339135
0.504367	0.394937
0.519628	0.453326
0.537546	0.521496
0.547542	0.593913
0.530098	0.671894
0.502491	0.723995
0.460824	0.771125
0.413687	0.815658
0.349623	0.857953
0.305707	0.872389
0.249575	0.874989
0.206766	0.86135
0.17543	0.834183
************TIME_SERIES************
ClassID: 2
TimeSeriesLength: 30
TimeSeriesData:
0.144596	0.590546
0.165179	0.539254
0.210914	0.453037
0.232957	0.407763
0.220736	0.405047
0.24953	0.379571
0.288683	0.310303
0.303192	0.285468
0.312995	0.285796
0.344419	0.26678
0.351446	0.280419
0.390081	0.298493
0.390081	0.298493
0.412671	0.306396
0.441801	0.383305
0.441801	0.383305
0.459653	0.429321
0.477922	0.475065
0.495547	0.530882
0.516664	0.658765
0.516664	0.658765
0.503325	0.718528
0.474773	0.749571
0.391176	0.815875
0.331788	0.853232
0.280776	0.873391
0.224884	0.883335
0.177493	0.874308
0.14717	0.841369
0.136717	0.792744
************TIME_SERIES************
ClassID: 2
TimeSeriesLength: 30
TimeSeriesData:
0.175636	0.657147
0.166591	0.613233
0.223012	0.53485
0.247028	0.478193
0.271717	0.431753
0.289404	0.385997
0.303139	0.352287
0.332274	0.339493
0.338197	0.317647
0.367908	0.286948
0.41138	0.285493
0.435182	0.290019
0.454232	0.299233
0.475554	0.314065
0.499224	0.337303
0.523639	0.372179
0.544592	0.40191
0.566836	0.446012
0.590301	0.495782
0.60519	0.548456
0.592213	0.608796
0.56709	0.652752
0.518602	0.712969
0.470497	0.757763
0.419656	0.813812
0.296601	0.905993
0.227132	0.91328
0.170682	0.899069
0.130058	0.86671
0.110034	0.813899
************TIME_SERIES************
ClassID: 2
TimeSeriesLength: 32
TimeSeriesData:
0.142434	0.663531
0.165294	0.585835
0.186363	0.521549
0.170128	0.491644
0.23006	0.401299
0.220396	0.396386
0.26514	0.306105
0.275958	0.281601
0.28134	0.246943
0.315351	0.239697
0.33979	0.22254
0.385966	0.205725
0.385966	0.205725
0.401848	0.215285
0.446564	0.247437
0.467601	0.27207
0.488345	0.303355
0.532495	0.394175
0.532495	0.394175
0.552345	0.444329
0.584987	0.554311
0.581522	0.640915
0.554131	0.699394
0.508053	0.748828
0.408984	0.822783
0.408984	0.822783
0.338701	0.863613
0.276024	0.880603
0.215459	0.877763
0.162167	0.863323
0.127374	0.824918
0.0913216	0.718106
************TIME_SERIES************
ClassID: 2
TimeSeriesLength: 30
TimeSeriesData:
0.102174	0.655155
0.143353	0.529843
0.198177	0.451989
0.221089	0.401153
0.206108	0.394544
0.260098	0.320143
0.274077	0.283954
0.270626	0.29186
0.302673	0.235052
0.318715	0.268988
0.343111	0.237196
0.36551	0.23722
0.37845	0.263136
0.407279	0.262929
0.449994	0.319589
0.468554	0.358604
0.486131	0.418599
0.513188	0.464703
0.534622	0.527957
0.560674	0.593104
0.555277	0.680607
0.555647	0.740933
0.471651	0.816159
0.4178	0.848152
0.346602	0.877102
0.29278	0.884926
0.226631	0.890478
0.172291	0.873119
0.135234	0.836626
0.115517	0.785762
************TIME_SERIES************
ClassID: 2
TimeSeriesLength: 31
TimeSeriesData:
0.109543	0.656655
0.137676	0.595323
0.161735	0.532964
0.240377	0.402414
0.240377	0.402414
0.276601	0.3125
0.301718	0.287455
0.307921	0.269992
0.330926	0.251407
0.330926	0.251407
0.355332	0.237752
0.376969	0.225968
0.396972	0.227718
0.418528	0.235142
0.46532	0.272413
0.487936	0.299482
0.511195	0.336839
0.534818	0.383402
0.559945	0.429886
0.579267	0.489071
0.593478	0.552633
0.597408	0.621125
0.565077	0.683238
0.519897	0.731283
0.469389	0.777849
0.336729	0.874609
0.273021	0.890432
0.273021	0.890432
0.207415	0.888817
0.151581	0.867722
0.10871	0.832574
************TIME_SERIES************
ClassID: 2
TimeSeriesLength: 31
TimeSeriesData:
0.112542	0.619233
0.136724	0.546646
0.136724	0.546646
0.220492	0.402379
0.209567	0.385502
0.264618	0.297558
0.264618	0.297558
0.303646	0.1879
0.343065	0.177966
0.364779	0.142543
0.383731	0.153377
0.403935	0.150552
0.457003	0.169349
0.477666	0.188017
0.499526	0.212061
0.521594	0.245477
0.545215	0.28726
0.579696	0.386621
0.579696	0.386621
0.597966	0.451785
0.59538	0.586252
0.577345	0.65872
0.531169	0.723667
0.487776	0.782002
0.428157	0.842742
0.301476	0.908453
0.301476	0.908453
0.228615	0.904665
0.13417	0.853952
0.103223	0.811712
0.12915	0.734437
************TIME_SERIES************
ClassID: 2
TimeSeriesLength: 28
TimeSeriesData:
0.123619	0.62672
0.16942	0.513546
0.16942	0.513546
0.212962	0.420669
0.275466	0.348
0.293799	0.316284
0.300163	0.295748
0.324752	0.286215
0.351178	0.278233
0.371962	0.267543
0.394118	0.271665
0.415819	0.277508
0.438587	0.296938
0.458095	0.320292
0.503565	0.39119
0.521841	0.437726
0.546022	0.490905
0.588219	0.601508
0.569273	0.679221
0.569273	0.679221
0.525771	0.728867
0.483962	0.759218
0.36033	0.84354
0.317485	0.873924
0.189371	0.891671
0.189371	0.891671
0.13858	0.877524
0.0769812	0.810737
************TIME_SERIES************
ClassID: 3
TimeSeriesLength: 13
TimeSeriesData: 
0.400854	0.674465
0.401869	0.682807
0.401636	0.697985
0.401191	0.719822
0.401204	0.746276
0.401453	0.763807
0.400694	0.768109
0.402541	0.754173
0.401019	0.731991
0.402568	0.710774
0.401684	0.693834
0.40163	0.684119
0.400828	0.678937
************TIME_SERIES************
ClassID: 3
TimeSeriesLength: 14
TimeSeriesData: 
0.401036	0.680977
0.402078	0.689009
0.401949	0.703208
0.402861	0.724257
0.403698	0.752917
0.403072	0.78044
0.403312	0.801893
0.40379	0.806083
0.405691	0.793275
0.406794	0.770512
0.407545	0.745831
0.408336	0.726328
0.409239	0.712984
0.40942	0.70582
************TIME_SERIES************
ClassID: 3
TimeSeriesLength: 13
TimeSeriesData: 
0.409545	0.705244
0.410467	0.710324
0.411206	0.723376
0.412398	0.742926
0.412285	0.765635
0.412244	0.781215
0.412345	0.785161
0.412729	0.770106
0.412882	0.744069
0.41277	0.718813
0.411613	0.698756
0.410989	0.685324
0.410671	0.676707
************TIME_SERIES************
ClassID: 3
TimeSeriesLength: 14
TimeSeriesData: 
0.409726	0.675659
0.409976	0.681166
0.409167	0.69381
0.408452	0.713411
0.408041	0.739801
0.408004	0.765762
0.406636	0.784404
0.406351	0.785904
0.405689	0.77022
0.405839	0.748192
0.404947	0.725389
0.40453	0.709667
0.404281	0.698346
0.403679	0.693803
************TIME_SERIES************
ClassID: 3
TimeSeriesLength: 13
TimeSeriesData: 
0.403387	0.694833
0.403366	0.70264
0.403457	0.718117
0.403328	0.739377
0.402835	0.76474
0.402268	0.785577
0.402003	0.791043
0.403372	0.777201
0.404419	0.74968
0.405557	0.723267
0.405918	0.702141
0.405898	0.687342
0.406091	0.678942
************TIME_SERIES************
ClassID: 3
TimeSeriesLength: 15
TimeSeriesData: 
0.407205	0.677278
0.407662	0.681255
0.40864	0.692556
0.409479	0.711208
0.410682	0.737249
0.411065	0.767731
0.411564	0.792468
0.411892	0.803806
0.412498	0.794697
0.413514	0.770029
0.413826	0.739877
0.413655	0.713466
0.413184	0.694036
0.413495	0.681011
0.412968	0.674353
************TIME_SERIES************
ClassID: 3
TimeSeriesLength: 15
TimeSeriesData: 
0.384449	0.694298
0.38392	0.696152
0.385287	0.703538
0.386362	0.718241
0.385798	0.740565
0.385376	0.76803
0.385229	0.795441
0.38401	0.81142
0.384286	0.810379
0.384032	0.79327
0.384489	0.76734
0.38488	0.744775
0.38345	0.728682
0.383317	0.716932
0.383148	0.710473
************TIME_SERIES************
ClassID: 3
TimeSeriesLength: 13
TimeSeriesData: 
0.383882	0.711466
0.382829	0.718468
0.383696	0.73185
0.384266	0.751457
0.384342	0.772875
0.384026	0.788289
0.38338	0.791064
0.384441	0.778342
0.386407	0.756658
0.387975	0.735423
0.388043	0.719142
0.38908	0.706759
0.389621	0.699852
************TIME_SERIES************
ClassID: 3
TimeSeriesLength: 14
TimeSeriesData: 
0.407483	0.704573
0.407394	0.713757
0.407305	0.728356
0.407947	0.751586
0.407733	0.778897
0.406972	0.797847
0.406345	0.805211
0.405849	0.798083
0.405751	0.780155
0.404394	0.759056
0.403335	0.741444
0.403098	0.728133
0.399878	0.716708
0.399878	0.716708
************TIME_SERIES************
ClassID: 3
TimeSeriesLength: 14
TimeSeriesData: 
0.398982	0.716232
0.398673	0.721592
0.39735	0.733339
0.396576	0.752756
0.395844	0.777285
0.394708	0.797309
0.393789	0.808188
0.392575	0.804641
0.393574	0.786564
0.393249	0.762497
0.39357	0.741427
0.39257	0.727077
0.392259	0.719311
0.392202	0.714603
************TIME_SERIES************
ClassID: 3
TimeSeriesLength: 14
TimeSeriesData: 
0.39187	0.715675
0.392009	0.721983
0.393082	0.735402
0.392219	0.756332
0.392584	0.784213
0.392673	0.809646
0.3921	0.825701
0.39217	0.826004
0.393341	0.811206
0.392878	0.789049
0.394314	0.750113
0.393831	0.738093
0.393831	0.738093
0.393467	0.731691
************TIME_SERIES************
ClassID: 3
TimeSeriesLength: 14
TimeSeriesData: 
0.393842	0.730579
0.393361	0.735884
0.395001	0.747536
0.395067	0.765671
0.39444	0.789103
0.394517	0.809233
0.394162	0.82298
0.393982	0.823344
0.394272	0.809771
0.394037	0.785477
0.394413	0.764137
0.392638	0.750466
0.392781	0.74114
0.391701	0.738415
************TIME_SERIES************
ClassID: 4
TimeSeriesLength: 12
TimeSeriesData: 
0.348963	0.491715
0.362052	0.436784
0.389438	0.390048
0.448711	0.344397
0.471879	0.35109
0.498236	0.377566
0.510302	0.431765
0.507687	0.511955
0.475681	0.581818
0.426157	0.621971
0.365587	0.607005
0.352775	0.543088
************TIME_SERIES************
ClassID: 4
TimeSeriesLength: 13
TimeSeriesData: 
0.335752	0.506747
0.347786	0.43528
0.37458	0.381089
0.428497	0.330456
0.443352	0.312138
0.474335	0.320085
0.497128	0.359526
0.500284	0.423948
0.485374	0.507496
0.444347	0.569717
0.39942	0.595595
0.358215	0.578986
0.327521	0.543983
************TIME_SERIES************
ClassID: 4
TimeSeriesLength: 14
TimeSeriesData: 
0.324493	0.493278
0.330612	0.434294
0.352724	0.364043
0.38737	0.346704
0.438896	0.298416
0.460833	0.307874
0.490004	0.344751
0.512125	0.407484
0.519168	0.501532
0.509266	0.576272
0.457057	0.624094
0.400354	0.629044
0.356307	0.600426
0.31212	0.534227
************TIME_SERIES************
ClassID: 4
TimeSeriesLength: 13
TimeSeriesData: 
0.302446	0.446547
0.308177	0.400849
0.329433	0.33274
0.363942	0.298131
0.425792	0.258373
0.445776	0.260348
0.467342	0.283052
0.490765	0.341821
0.501075	0.418596
0.489578	0.549662
0.457422	0.569316
0.406922	0.593978
0.363514	0.579019
************TIME_SERIES************
ClassID: 4
TimeSeriesLength: 13
TimeSeriesData: 
0.331508	0.533608
0.336165	0.437246
0.358115	0.410736
0.386189	0.353741
0.442821	0.325602
0.463561	0.320233
0.497612	0.344283
0.524213	0.400076
0.53338	0.473369
0.517044	0.539979
0.460074	0.584851
0.402352	0.59922
0.357341	0.57898
************TIME_SERIES************
ClassID: 4
TimeSeriesLength: 14
TimeSeriesData: 
0.337696	0.495731
0.338407	0.438833
0.342775	0.384159
0.357527	0.356955
0.391465	0.348178
0.440191	0.312772
0.463269	0.339724
0.491314	0.37982
0.511071	0.448037
0.502357	0.523523
0.463854	0.577114
0.41358	0.603434
0.374379	0.598844
0.341868	0.550453
************TIME_SERIES************
ClassID: 4
TimeSeriesLength: 13
TimeSeriesData: 
0.339674	0.474814
0.350763	0.414533
0.39222	0.360836
0.405421	0.34159
0.465085	0.324793
0.489422	0.357646
0.522602	0.408981
0.507856	0.480615
0.489046	0.540258
0.461417	0.560992
0.410491	0.583588
0.367569	0.565193
0.353132	0.546252
************TIME_SERIES************
ClassID: 4
TimeSeriesLength: 12
TimeSeriesData: 
0.34445	0.446669
0.357155	0.390587
0.398715	0.36446
0.399834	0.420124
0.464627	0.349843
0.490747	0.385444
0.506319	0.448477
0.499617	0.523505
0.459481	0.570143
0.416125	0.589521
0.377091	0.58127
0.352266	0.532626
************TIME_SERIES************
ClassID: 4
TimeSeriesLength: 14
TimeSeriesData: 
0.346653	0.475623
0.351116	0.455417
0.36034	0.430053
0.39808	0.389649
0.409141	0.381988
0.474657	0.361142
0.496004	0.41474
0.508541	0.465975
0.499796	0.532233
0.479535	0.594271
0.425927	0.610693
0.387834	0.604495
0.367885	0.591089
0.340865	0.534775
************TIME_SERIES************
ClassID: 4
TimeSeriesLength: 14
TimeSeriesData: 
0.334641	0.468171
0.349144	0.424499
0.38238	0.369543
0.406029	0.353931
0.456498	0.340779
0.477894	0.362836
0.510699	0.403118
0.530659	0.467488
0.531062	0.536993
0.505125	0.596628
0.45173	0.623841
0.396797	0.619891
0.355826	0.588387
0.326506	0.518936

